Name,Value
NUEVA_RENCA-TG+TV_DIE,10.8
NUEVA_RENCA-TG+TV_GN_A,9.76
NUEVA_RENCA-TG+TV_GNL_A,9.76
NUEVA_RENCA-TG+TV_GNL_B,9.76
NUEVA_RENCA-TG+TV_GNL_C,9.76
NUEVA_RENCA-TG+TV_GNL_D,9.76
NUEVA_RENCA-TG+TV_GNL_E,9.76
NUEVA_RENCA-TG+TV_GNL_F,9.76
NUEVA_RENCA-TG+TV_GNL_INF,9.76
NUEVA_RENCA-TG+TV_GNL_P,9.76
NUEVA_RENCA-FA_GLP,0.78
NUEVA_RENCA-FA_GN_A,0.95
NUEVA_RENCA-FA_GNL_A,0.95
NUEVA_RENCA-FA_GNL_B,0.95
NUEVA_RENCA-FA_GNL_C,0.95
NUEVA_RENCA-FA_GNL_D,0.95
NUEVA_RENCA-FA_GNL_E,0.95
NUEVA_RENCA-FA_GNL_INF,0.95
NUEVA_RENCA-FA_GNL_P,0.95
CMPC_CORDILLERA_GN_A,1.08
CMPC_CORDILLERA_GNL_A,1.08
CMPC_CORDILLERA_GNL_B,1.08
SANTA_MARTA,0.825
CANDELARIA_1_DIE,0.95
CANDELARIA_1_GN_A,0.94
CANDELARIA_1_GNL_A,0.94
CANDELARIA_1_GNL_B,0.94
CANDELARIA_1_GNL_C,0.94
CANDELARIA_1_GNL_D,0.94
CANDELARIA_1_GNL_E,0.94
CANDELARIA_1_GNL_F,0.94
CANDELARIA_1_GNL_G,0.94
CANDELARIA_1_GNL_INF,0.94
CANDELARIA_2_DIE,0.84
CANDELARIA_2_GN_A,0.87
CANDELARIA_2_GNL_A,0.87
CANDELARIA_2_GNL_B,0.87
CANDELARIA_2_GNL_C,0.87
CANDELARIA_2_GNL_D,0.87
CANDELARIA_2_GNL_E,0.87
CANDELARIA_2_GNL_F,0.87
CANDELARIA_2_GNL_G,0.87
CANDELARIA_2_GNL_INF,0.87
ENERGIA_PACIFICO,1.2948
ESPERANZA_DS1,0.006266667
ESPERANZA_DS2,0.009
ESPERANZA_TG1,0.188
TENO,0.118
TENO_GAS_GLP,0.778
CEMENTOS_BIOBIO_DIE,0.068
CEMENTOS_BIOBIO_FO6,0.068
LICANTEN_BL1,0
LICANTEN_BL2,0
CONSTITUCION-EGEN,0
MAULE,0
VINALES_BL1,0
VINALES_BL2,0
CELCO_BL1,0
CELCO_BL2,0
SAN_JAVIER_1,0.03448
SAN_JAVIER_2,0.0405
LINARES,0
SAN_GREGORIO,0
NUEVA_ALDEA_1_BL1,0
NUEVA_ALDEA_1_BL2,0
NUEVA_ALDEA_2,0.42833
NUEVA_ALDEA_3,0
CMPC_BUCALEMU_1,0.783
CMPC_BUCALEMU_2,0.351
MASISA,0
SANTA_LIDIA,1.39
LOS_PINOS,1.29
LOS_GUINDOS,0.998
LOS_GUINDOS_2,1.19
SANTA_FE_BL1,4.5
SANTA_FE_BL2,0
SANTA_FE_BL3,0
SANTA_FE_BL4,0
CMPC_SANTA_FE,0
CMPC_LAJA_BL1,0
CMPC_LAJA_BL2,0
CMPC_LAJA_BL3,0
CMPC_LAJA_BL4,0
CMPC_LAJA_BL5,0
CMPC_PACIFICO_BL1,0
CMPC_PACIFICO_BL2,0
CMPC_PACIFICO_BL3,0
YUNGAY_U1_DIE,0.19
YUNGAY_U1_GN_A,0
YUNGAY_U1_GNL_A,0
YUNGAY_U2_DIE,0.3
YUNGAY_U2_GN_A,0
YUNGAY_U2_GNL_A,0
YUNGAY_U3_DIE,0.31
YUNGAY_U3_GN_A,0
YUNGAY_U3_GNL_A,0
YUNGAY_U4_DIE,0.3
CHOLGUAN_BL1,0
CHOLGUAN_BL2,0
NEWEN_DIE,0.168
NEWEN_GN_A,0.161
NEWEN_GN_B,0.161
NEWEN_GNL_A,0.161
NEWEN_GNL_B,0.161
NEWEN_PRO,0.187
ERSA_BIOBIO,0
ESCUADRON,0
CORONEL_DIE,0.452
CORONEL_GN_A,0.532
CORONEL_GNL_A,0.532
CORONEL_GNL_B,0.532
SANTA_MARIA,29.47
BOCAMINA_2,29.76
HORCONES_DIE,0
ARAUCO,0
LAUTARO_1_BL1,2
LAUTARO_1_BL2,0
LAUTARO_2_BL1,1.5
LAUTARO_2_BL2,0
VALDIVIA_BL1_EUCA,0
VALDIVIA_BL1_PINO,0
VALDIVIA_BL2_EUCA,0
VALDIVIA_BL2_PINO,0
VALDIVIA_BL3_EUCA,0
VALDIVIA_BL3_PINO,0
VALDIVIA_BL4_EUCA,0
VALDIVIA_BL4_PINO,0
ANTILHUE_U1,0.766
ANTILHUE_U2,0.754
CALLECALLE,0
CHUYACA,0.96
TRAPEN,0.162
DEGAN_NAVE12,0
DEGAN_NAVE5,0
DEGAN_2,0.38
TRINCAO,0.51
CHILOE,0.17
ATA-TG1A_GN_B,1.196
ATA-TG1A_GN_C,1.196
ATA-TG1A_GN_D,1.196
ATA-TG1A+0.5TV1C_GN_B,5.965
ATA-TG1A+0.5TV1C_GN_C,5.965
ATA-TG1A+0.5TV1C_GN_D,5.965
ATA-TG1A+TG1B+TV1C_GN_B,6.4
ATA-TG1A+TG1B+TV1C_GN_C,6.4
ATA-TG1A+TG1B+TV1C_GN_D,6.4
ATA-TG1B_GN_B,6.3
ATA-TG1B_GN_C,6.3
ATA-TG1B_GN_D,6.3
ATA-TG1B+0.5TV1C_GN_B,7.4
ATA-TG1B+0.5TV1C_GN_C,7.4
ATA-TG1B+0.5TV1C_GN_D,7.4
ATA-TG2A_GN_B,1.196
ATA-TG2A_GN_C,1.196
ATA-TG2A_GN_D,1.196
ATA-TG2A+0.5TV2C_GN_B,7.142
ATA-TG2A+0.5TV2C_GN_C,7.142
ATA-TG2A+0.5TV2C_GN_D,7.142
ATA-TG2A+TG2B+TV2C_GN_B,6.4
ATA-TG2A+TG2B+TV2C_GN_C,6.4
ATA-TG2A+TG2B+TV2C_GN_D,6.4
ATA-TG2B_GN_B,6.25
ATA-TG2B_GN_C,6.25
ATA-TG2B_GN_D,6.25
ATA-TG2B+0.5TV2C_GN_B,7.4
ATA-TG2B+0.5TV2C_GN_C,7.4
ATA-TG2B+0.5TV2C_GN_D,7.4
CANDELARIA_1_GN_B,0.94
CANDELARIA_1_GN_C,0.94
CANDELARIA_1_GN_D,0.94
CANDELARIA_2_GN_B,0.87
CANDELARIA_2_GN_C,0.87
CANDELARIA_2_GN_D,0.87
KELAR-TG1_GN_B,3.4
KELAR-TG1_GN_C,3.4
KELAR-TG1_GN_D,3.4
KELAR-TG1+0.5TV_GN_B,6.2
KELAR-TG1+0.5TV_GN_C,6.2
KELAR-TG1+0.5TV_GN_D,6.2
KELAR-TG1+TG2+TV_GN_B,10.6
KELAR-TG1+TG2+TV_GN_C,10.6
KELAR-TG1+TG2+TV_GN_D,10.6
KELAR-TG2_GN_B,1.93
KELAR-TG2_GN_C,1.93
KELAR-TG2_GN_D,1.93
KELAR-TG2+0.5TV_GN_B,5.76
KELAR-TG2+0.5TV_GN_C,5.76
KELAR-TG2+0.5TV_GN_D,5.76
LOS_VIENTOS_GN_B,1.267
LOS_VIENTOS_GN_C,1.267
LOS_VIENTOS_GN_D,1.267
LOS_VIENTOS-CNAVIA_GN_B,1.267
LOS_VIENTOS-CNAVIA_GN_C,1.267
LOS_VIENTOS-CNAVIA_GN_D,1.267
MEJILLONES_3-TG_GN_B,8.68
MEJILLONES_3-TG_GN_C,8.68
MEJILLONES_3-TG_GN_D,8.68
MEJILLONES_3-TG+TV_GN_B,8.99
MEJILLONES_3-TG+TV_GN_C,8.99
MEJILLONES_3-TG+TV_GN_D,8.99
NEHUENCO_1-FA_GN_B,0.14
NEHUENCO_1-FA_GN_C,0.14
NEHUENCO_1-FA_GN_D,0.14
NEHUENCO_1-TG_GN_B,2.66
NEHUENCO_1-TG_GN_C,2.66
NEHUENCO_1-TG_GN_D,2.66
NEHUENCO_1-TG+TV_GN_B,8.26
NEHUENCO_1-TG+TV_GN_C,8.26
NEHUENCO_1-TG+TV_GN_D,8.26
NEHUENCO_2-TG_GN_B,7.965
NEHUENCO_2-TG_GN_C,7.965
NEHUENCO_2-TG_GN_D,7.965
NEHUENCO_2-TG+TV_GN_B,5.674
NEHUENCO_2-TG+TV_GN_C,5.674
NEHUENCO_2-TG+TV_GN_D,5.674
NEHUENCO_9B_GN_B,1.08
NEHUENCO_9B_GN_C,1.08
NEHUENCO_9B_GN_D,1.08
NUEVA_RENCA-FA_GN_B,0.95
NUEVA_RENCA-FA_GN_C,0.95
NUEVA_RENCA-FA_GN_D,0.95
NUEVA_RENCA-TG+TV_GN_B,9.76
NUEVA_RENCA-TG+TV_GN_C,9.76
NUEVA_RENCA-TG+TV_GN_D,9.76
QUINTERO_1A_GN_B,0.9039
QUINTERO_1A_GN_C,0.9039
QUINTERO_1A_GN_D,0.9039
QUINTERO_1B_GN_B,0.635
QUINTERO_1B_GN_C,0.635
